Time (s),Lap Distance (m),Ground Speed (km/h),Latitude Degrees (),Latitude Minutes (),Latitude Minute fraction (),Longitude Degrees (),Longitude Minutes (),Longitude Minute - fraction (),YawNorth (rad),X (m),Y (m),AP Info:
110.783333333333,5536.78097115721,153.210640698665,34,50,46.3991524434589,136,32,11.8825970387479,1.58016659511742,-185.916625976562,118.193901062012,0
110.8,5537.49036957318,153.249474996572,34,50,46.3986924786694,136,32,11.9143184847235,1.58863201091555,-185.110733032227,118.179710388184,0
110.816666666667,5538.20082149098,153.665753495355,34,50,46.3993197593736,136,32,11.9393010136651,1.59523217106727,-184.476043701172,118.199028015137,0
110.833333333333,5538.91289200353,153.948707926937,34,50,46.3993292889539,136,32,11.9616006143974,1.60164624365536,-183.909515380859,118.199310302734,0
110.85,5539.62641640761,154.293834635296,34,50,46.3994191471868,136,32,11.9908661357317,1.6090842048314,-183.166015625,118.20206451416,0
110.866666666667,5540.34115733575,154.474246320296,34,50,46.3991767973538,136,32,12.0227281200914,1.6158893826094,-182.356552124023,118.194580078125,0
110.883333333333,5541.05754352544,155.004587625218,34,50,46.3986063668158,136,32,12.0522351041859,1.62299120525387,-181.606918334961,118.176986694336,0
110.9,5541.77578811761,155.277076192401,34,50,46.3979524933676,136,32,12.0812928306509,1.62992815400032,-180.868698120117,118.15682220459,0
110.916666666667,5542.49549459332,155.636121314341,34,50,46.3968882722467,136,32,12.1035420054159,1.63642276177672,-180.303451538086,118.124015808105,0
110.933333333333,5543.21719295776,156.137572124354,34,50,46.3959278011969,136,32,12.1421489027557,1.64514116297034,-179.322631835938,118.094398498535,0
110.95,5543.94033460183,156.259618114791,34,50,46.3950598598045,136,32,12.1615403505121,1.65088599274424,-178.829986572266,118.067642211914,0
110.966666666667,5544.66444990354,156.558192220516,34,50,46.3935644457591,136,32,12.1894623351341,1.65731870482234,-178.120620727539,118.021545410156,0
110.983333333333,5545.39005915443,156.905004165494,34,50,46.3916811591189,136,32,12.2225766374231,1.66496996680764,-177.279342651367,117.963493347168,0
111,5546.11687801802,157.080744907845,34,50,46.3899315203234,136,32,12.2530812679247,1.67260182003048,-176.504364013672,117.909561157227,0
111.016666666667,5546.84424113486,157.140121564173,34,50,46.3882300065136,136,32,12.2740691667036,1.67922618339327,-175.971160888672,117.857116699219,0
111.033333333333,5547.57284124635,157.615126600833,34,50,46.3855134419531,136,32,12.3118628715861,1.68943820247916,-175.011001586914,117.773384094238,0
111.05,5548.30235564042,157.535091636525,34,50,46.384087446708,136,32,12.3308026692075,1.69450776378182,-174.529830932617,117.729431152344,0
111.066666666667,5549.03200585439,157.673800800632,34,50,46.3812755113706,136,32,12.3654821911305,1.70136548677949,-173.648788452148,117.642761230469,0
111.083333333333,5549.76251755645,157.907254488242,34,50,46.378910389282,136,32,12.3962330856716,1.70643465320138,-172.867553710938,117.569862365723,0
111.1,5550.49433064562,158.236000032664,34,50,46.3757034909831,136,32,12.4262542527663,1.7120270291951,-172.104858398438,117.47102355957,0
111.116666666667,5551.22621091374,157.936275794772,34,50,46.3741579207066,136,32,12.4458234955046,1.71636097232369,-171.607696533203,117.423385620117,0
111.133333333333,5551.95792691131,158.165035153959,34,50,46.3706864100884,136,32,12.4791828803655,1.72334344784287,-170.760192871094,117.316390991211,0
111.15,5552.68995038924,158.069107313961,34,50,46.3673576146987,136,32,12.5037540765152,1.73104679683713,-170.135955810547,117.213798522949,0
111.166666666667,5553.42259008533,158.431241395063,34,50,46.3632721341752,136,32,12.5388318305159,1.73930840293435,-169.24479675293,117.087882995605,0
111.183333333333,5554.15602720838,158.413595762831,34,50,46.3599399687836,136,32,12.5699629320525,1.7461207816985,-168.453903198242,116.98518371582,0
111.2,5554.89028014409,158.783672464442,34,50,46.3569235365723,136,32,12.5896132886328,1.75161615113286,-167.954681396484,116.892219543457,0
111.216666666667,5555.62523500282,158.716826505147,34,50,46.3525592047516,136,32,12.6198735212756,1.75862825016049,-167.185913085938,116.757713317871,0
111.233333333333,5556.36067019022,158.99117445436,34,50,46.3486489151875,136,32,12.6493030939105,1.76497209171322,-166.438247680664,116.637199401855,0
111.25,5557.09690690326,159.06308557848,34,50,46.3443610638079,136,32,12.6784347694911,1.77124546567467,-165.698150634766,116.50505065918,0
111.266666666667,5557.83418055707,159.439132865971,34,50,46.3400684727957,136,32,12.7052949223003,1.77617289225129,-165.015762329102,116.372756958008,0
111.283333333333,5558.57272722569,159.613027978018,34,50,46.3347166257533,136,32,12.7408802166019,1.78315332631138,-164.111709594727,116.207817077637,0
111.3,5559.31242433175,159.936121839226,34,50,46.3312963787557,136,32,12.759947382317,1.78674110869435,-163.627304077148,116.102409362793,0
111.316666666667,5560.05308551426,160.02950900744,34,50,46.3265913463344,136,32,12.7886778534776,1.79211735824612,-162.897399902344,115.957405090332,0
111.333333333333,5560.79469976436,160.347847034144,34,50,46.3209163660535,136,32,12.8216462765795,1.79756619135407,-162.059829711914,115.782508850098,0
111.35,5561.53774934374,160.649571260395,34,50,46.3135042262876,136,32,12.8610268900889,1.80408284167317,-161.059356689453,115.554077148438,0
111.366666666667,5562.28232639852,161.007716405458,34,50,46.3113202411988,136,32,12.8708277548231,1.80598354438809,-160.810363769531,115.486770629883,0
